x,y,theta
0.0,0.0,0.0
0.004,0.0,0.0005
0.008,0.0,0.0009
0.012,0.0,0.0014
0.016,0.0,0.0021
0.02,0.0,0.0008
0.024,0.0,-0.0022
0.028,0.0,-0.0071
0.032,-0.0,-0.0102
0.036,-0.0001,-0.0138
0.04,-0.0001,-0.0193
0.044,-0.0002,-0.0236
0.048,-0.0003,-0.0271
0.052,-0.0004,-0.0294
0.056,-0.0005,-0.0324
0.06,-0.0006,-0.0354
0.064,-0.0008,-0.0387
0.068,-0.0009,-0.0424
0.072,-0.0011,-0.0446
0.076,-0.0013,-0.045
0.08,-0.0015,-0.0458
0.084,-0.0016,-0.0473
0.088,-0.0018,-0.0491
0.092,-0.002,-0.0508
0.096,-0.0022,-0.0513
0.1,-0.0024,-0.0531
0.1039,-0.0027,-0.0541
0.1079,-0.0029,-0.0535
0.1119,-0.0031,-0.0534
0.1159,-0.0033,-0.0552
0.1199,-0.0035,-0.0575
0.1239,-0.0037,-0.0594
0.1279,-0.004,-0.0621
0.1319,-0.0042,-0.0639
0.1359,-0.0045,-0.0659
0.1399,-0.0047,-0.0675
0.1439,-0.005,-0.0679
0.1479,-0.0053,-0.0683
0.1519,-0.0056,-0.0694
0.1558,-0.0058,-0.0713
0.1598,-0.0061,-0.072
0.1638,-0.0064,-0.0719
0.1678,-0.0067,-0.0707
0.1718,-0.007,-0.0712
0.1758,-0.0073,-0.0718
0.1798,-0.0076,-0.0731
0.1838,-0.0078,-0.0759
0.1878,-0.0082,-0.0801
0.1918,-0.0085,-0.0851
0.1957,-0.0088,-0.0886
0.1997,-0.0092,-0.0929
0.2037,-0.0095,-0.0957
0.2077,-0.0099,-0.1002
0.2117,-0.0103,-0.1037
0.2156,-0.0107,-0.1062
0.2196,-0.0112,-0.1087
0.2236,-0.0116,-0.1122
0.2276,-0.012,-0.1177
0.2315,-0.0125,-0.1235
0.2355,-0.013,-0.1295
0.2395,-0.0135,-0.1353
0.2434,-0.0141,-0.1414
0.2474,-0.0146,-0.1471
0.2514,-0.0152,-0.151
0.2553,-0.0158,-0.1529
0.2593,-0.0164,-0.1542
0.2632,-0.017,-0.1554
0.2672,-0.0177,-0.1584
0.2711,-0.0183,-0.1605
0.2751,-0.0189,-0.1618
0.279,-0.0196,-0.1612
0.283,-0.0202,-0.1592
0.2869,-0.0208,-0.157
0.2909,-0.0215,-0.1559
0.2948,-0.0221,-0.1553
0.2988,-0.0227,-0.1549
0.3027,-0.0233,-0.1548
0.3067,-0.0239,-0.1542
0.3106,-0.0246,-0.1526
0.3146,-0.0252,-0.1524
0.3185,-0.0258,-0.153
0.3225,-0.0264,-0.1538
0.3264,-0.027,-0.1566
0.3304,-0.0276,-0.1575
0.3343,-0.0282,-0.158
0.3383,-0.0289,-0.1577
0.3422,-0.0295,-0.1562
0.3462,-0.0301,-0.1548
0.3501,-0.0307,-0.1547
0.3541,-0.0314,-0.155
0.3581,-0.032,-0.1555
0.362,-0.0326,-0.1546
0.366,-0.0332,-0.1521
0.3699,-0.0338,-0.1498
