t_s,left_rpm,right_rpm,left_ticks,right_ticks,left_pwm,right_pwm
0.0311,0.000,0.000,5435,5555,0.6500,0.6500
0.0799,6.667,7.333,5445,5566,0.6457,0.6443
0.1295,14.667,14.667,5467,5589,0.6763,0.6750
0.1850,19.333,20.000,5496,5619,0.6977,0.6950
0.2312,21.333,24.667,5528,5655,0.6883,0.6123
0.2796,26.000,24.667,5567,5692,0.6030,0.6230
0.3294,27.333,26.667,5609,5733,0.5817,0.5897
0.3812,28.000,29.333,5651,5777,0.5723,0.5377
0.4294,27.333,30.000,5691,5822,0.5910,0.5243
0.4807,25.333,26.000,5730,5861,0.6403,0.6123
0.5294,30.667,30.667,5775,5906,0.5323,0.5177
0.5842,28.667,28.667,5819,5950,0.5750,0.5603
0.6296,28.000,30.667,5860,5996,0.5923,0.5190
0.6795,28.667,30.667,5904,6041,0.5817,0.5177
0.7295,28.000,27.333,5946,6083,0.5990,0.5897
0.7794,29.333,30.667,5990,6128,0.5737,0.5217
0.8360,29.333,28.667,6034,6172,0.5750,0.5643
0.8821,30.000,28.000,6078,6214,0.5617,0.5817
0.9323,27.333,30.000,6120,6258,0.6203,0.5417
0.9842,28.667,29.333,6162,6302,0.5963,0.5563
1.0377,30.000,29.333,6207,6347,0.5697,0.5577
1.0868,29.333,30.000,6252,6391,0.5843,0.5443
1.1297,28.000,28.000,6294,6434,0.6150,0.5883
1.1795,28.667,28.667,6337,6477,0.6043,0.5777
1.2314,27.333,28.667,6378,6520,0.6363,0.5803
1.2803,29.333,29.333,6422,6564,0.5977,0.5683
1.3365,29.333,31.333,6466,6610,0.5990,0.5257
1.3819,30.667,30.000,6512,6656,0.5710,0.5523
1.4308,29.333,29.333,6555,6699,0.5990,0.5670
1.4815,30.667,28.667,6601,6743,0.5710,0.5830
1.5303,27.333,30.000,6643,6787,0.6430,0.5563
1.5848,32.000,30.667,6690,6833,0.1017,0.5417
1.6295,28.667,30.667,6733,6879,0.6150,0.5403
1.6795,24.667,30.000,6770,6925,0.7057,0.5537
1.7294,28.667,32.000,6813,6973,0.6283,0.0657
1.7804,28.000,28.667,6856,7016,0.6457,0.5790
1.8295,30.667,28.000,6902,7058,0.5910,0.5963
1.8794,32.000,28.000,6950,7099,0.1163,0.6003
1.9295,27.333,26.667,6991,7140,0.6590,0.6337
1.9794,26.000,26.667,7030,7180,0.6937,0.6403
2.0295,29.333,30.000,7073,7225,0.6283,0.5737
2.0795,27.333,31.333,7114,7271,0.6737,0.5443
2.1327,29.333,29.333,7158,7315,0.6350,0.5857
2.1797,31.333,30.667,7205,7362,0.5923,0.5577
2.2324,28.667,32.667,7248,7411,0.6483,0.0683
2.2825,31.333,30.667,7295,7456,0.5923,0.5510
2.3295,31.333,27.333,7343,7497,0.5897,0.6230
2.3795,31.333,28.000,7390,7540,0.5870,0.6137
2.4299,28.667,29.333,7433,7584,0.6430,0.5883
2.4795,32.667,31.333,7482,7630,0.1137,0.5457
2.5323,29.333,27.333,7526,7671,0.6257,0.6310
2.5824,28.000,30.667,7568,7717,0.6563,0.5630
2.6298,27.333,29.333,7609,7762,0.6750,0.5910
2.6796,30.000,28.667,7653,7805,0.6217,0.6070
2.7302,28.667,32.000,7697,7852,0.6510,0.0923
2.7810,28.667,29.333,7739,7897,0.6537,0.5910
2.8296,30.000,30.000,7785,7942,0.6270,0.5777
2.8795,32.667,28.000,7834,7983,0.1243,0.6217
2.9313,30.000,28.000,7879,8026,0.6217,0.6257
2.9795,28.667,30.667,7921,8072,0.6510,0.5710
3.0306,28.667,32.000,7964,8120,0.6537,0.0963
3.0795,26.667,26.667,8005,8160,0.7003,0.6537
3.1357,31.333,30.000,8051,8204,0.6043,0.5870
3.1796,32.667,27.333,8101,8246,0.1283,0.6457
3.2310,31.333,30.000,8147,8291,0.5963,0.5923
3.2794,26.000,31.333,8186,8337,0.7110,0.5630
3.3295,28.667,30.667,8230,8384,0.6603,0.5750
3.3796,28.000,28.667,8271,8426,0.6777,0.6177
3.4312,30.000,31.333,8317,8474,0.6377,0.5617
3.4795,29.333,32.000,8360,8522,0.6523,0.1003
3.5298,30.667,30.000,8407,8567,0.6243,0.5843
3.5795,32.667,28.667,8455,8609,0.1350,0.6137
3.6297,30.000,28.667,8501,8653,0.6323,0.6163
3.6795,27.333,31.333,8542,8700,0.6910,0.5603
3.7296,28.667,30.667,8584,8746,0.6670,0.5723
3.7796,29.333,30.667,8629,8792,0.6550,0.5710
3.8295,30.667,30.667,8674,8838,0.6270,0.5697
3.8796,28.667,32.000,8718,8886,0.6697,0.0950
3.9308,29.333,29.333,8762,8930,0.6577,0.5937
3.9799,30.000,28.000,8807,8972,0.6443,0.6243
